Keyword,Score
읍니,0.6
진행,0.6
존나,0.6
낭비,0.6
우정,0.6
배팅계,0.6
마이크,0.6
대성공,0.6
무당,0.6
코로나,0.6
코카콜라,0.6
사고,0.6
만큼,0.6
주위,0.6
인스타그램,0.6
이형,0.6
존재,0.6
노예,0.6
요리사,0.6
이후,0.6
잡고,0.6
이름,0.6
오징어,0.6
무리,0.6
한식,0.6
출산,0.6
세상,0.6
둘째,0.6
정신,0.6
학교,0.6
레전드,0.6
냉큼,0.6
역할,0.6
공유,0.6
나날,0.6
광고,0.6
함깨,0.6
고등학교,0.6
평가,0.6
깜짝,0.6
화목,0.6
화마,0.6
비하인드,0.6
대컨,0.6
하트,0.6
세랑,0.6
인사,0.6
찌개,0.6
재중,0.6
선생님,0.6
하얼빈,0.6
최상,0.6
가람,0.6
유저,0.6
하이,0.6
거의,0.6
이탈,0.6
인기,0.6
업계,0.6
목욕,0.6
가루,0.6
전쟁,0.6
퀄리티,0.6
영웅,0.6
베트남,0.6
유행,0.6
개봉,0.6
라이브,0.6
우렁,0.6
케이크,0.6
상보,0.6
자극,0.6
일주일,0.6
아내,0.6
사진,0.6
잡채,0.6
새우,0.6
클라스,0.6
이세돌,0.6
중기,0.6
원지,0.6
짐빔,0.6
눕프핵,0.6
뭔가,0.6
고민,0.6
형님,0.6
제발,0.6
오히려,0.6
새싹,0.6
웃음,0.6
대장,0.6
차려,0.6
여우,0.6
민아,0.6
갑자기,0.6
기대,0.6
가정,0.6
캔디,0.6
방금,0.6
차지,0.6
저녁,0.6
찌게,0.6
위기,0.6
애르,0.6
영웅시대,0.6
소금,0.6
하루,0.6
진심,0.6
자유,0.6
흑백,0.6
물건,0.6
건강,0.6
버섯,0.6
애드립,0.6
명불허전,0.6
토카,0.6
결정,0.6
내용,0.6
뷋팅,0.6
사대,0.6
초대,0.6
이분,0.6
입대,0.6
웃기,0.6
단독,0.6
당하,0.6
대장님,0.6
한국말,0.6
시식,0.6
형제,0.6
덩이,0.6
고기,0.6
자주,0.6
건행,0.6
두번째,0.6
점점,0.6
간만,0.6
편집,0.6
미소,0.6
혜진,0.6
최저,0.6
배달,0.6
분위기,0.6
프로,0.6
우크라이나,0.6
투애니원,0.6
돼지,0.6
기원,0.6
향기,0.6
존경,0.6
매력,0.6
